,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2021 Census of Population and Housing,,,,,,,,
General Community Profile DataPack Metadata,,,,,,,,
,,,,,,,,
,,Celldescriptors,,,,,,
G7830,P_Tot_ADF_ev_ser_55_64,PERSONS_Has_served_in_the_Australian_Defence_Total_ever_served_Age_55_64_years,G22,G22,Age: 55-64 years|PERSONS,,,
G7831,P_Tot_ADF_ev_ser_65_74,PERSONS_Has_served_in_the_Australian_Defence_Total_ever_served_Age_65_74_years,G22,G22,Age: 65-74 years|PERSONS,,,
G7832,P_Tot_ADF_ev_ser_75_84,PERSONS_Has_served_in_the_Australian_Defence_Total_ever_served_Age_75_84_years,G22,G22,Age: 75-84 years|PERSONS,,,
G7833,P_Tot_ADF_ev_ser_85_ov,PERSONS_Has_served_in_the_Australian_Defence_Total_ever_served_Age_85_years_and_over,G22,G22,Age: 85 years and over|PERSONS,,,
G7834,P_Tot_ADF_ev_ser_Tot,PERSONS_Has_served_in_the_Australian_Defence_Total_ever_served_Age_Total,G22,G22,Age: Total|PERSONS,,,
G7835,P_never_served_15_24,PERSONS_Has_never_served_Age_15_24_years,G22,G22,Age: 15-24 years|PERSONS,,,
G7836,P_never_served_25_34,PERSONS_Has_never_served_Age_25_34_years,G22,G22,Age: 25-34 years|PERSONS,,,
G7837,P_never_served_35_44,PERSONS_Has_never_served_Age_35_44_years,G22,G22,Age: 35-44 years|PERSONS,,,
G7838,P_never_served_45_54,PERSONS_Has_never_served_Age_45_54_years,G22,G22,Age: 45-54 years|PERSONS,,,
G7839,P_never_served_55_64,PERSONS_Has_never_served_Age_55_64_years,G22,G22,Age: 55-64 years|PERSONS,,,
G7840,P_never_served_65_74,PERSONS_Has_never_served_Age_65_74_years,G22,G22,Age: 65-74 years|PERSONS,,,
G7841,P_never_served_75_84,PERSONS_Has_never_served_Age_75_84_years,G22,G22,Age: 75-84 years|PERSONS,,,
G7842,P_never_served_85_ov,PERSONS_Has_never_served_Age_85_years_and_over,G22,G22,Age: 85 years and over|PERSONS,,,
G7843,P_never_served_Tot,PERSONS_Has_never_served_Age_Total,G22,G22,Age: Total|PERSONS,,,
G7844,P_NS_15_24,PERSONS_Not_stated_Age_15_24_years,G22,G22,Age: 15-24 years|PERSONS,,,
G7845,P_NS_25_34,PERSONS_Not_stated_Age_25_34_years,G22,G22,Age: 25-34 years|PERSONS,,,
G7846,P_NS_35_44,PERSONS_Not_stated_Age_35_44_years,G22,G22,Age: 35-44 years|PERSONS,,,
G7847,P_NS_45_54,PERSONS_Not_stated_Age_45_54_years,G22,G22,Age: 45-54 years|PERSONS,,,
G7848,P_NS_55_64,PERSONS_Not_stated_Age_55_64_years,G22,G22,Age: 55-64 years|PERSONS,,,
G7849,P_NS_65_74,PERSONS_Not_stated_Age_65_74_years,G22,G22,Age: 65-74 years|PERSONS,,,
G7850,P_NS_75_84,PERSONS_Not_stated_Age_75_84_years,G22,G22,Age: 75-84 years|PERSONS,,,
G7851,P_NS_85_ov,PERSONS_Not_stated_Age_85_years_and_over,G22,G22,Age: 85 years and over|PERSONS,,,
G7852,P_NS_Tot,PERSONS_Not_stated_Age_Total,G22,G22,Age: Total|PERSONS,,,
G7853,P_Tot_15_24,PERSONS_Total_Age_15_24_years,G22,G22,Age: 15-24 years|PERSONS,,,
G7854,P_Tot_25_34,PERSONS_Total_Age_25_34_years,G22,G22,Age: 25-34 years|PERSONS,,,
G7855,P_Tot_35_44,PERSONS_Total_Age_35_44_years,G22,G22,Age: 35-44 years|PERSONS,,,
G7856,P_Tot_45_54,PERSONS_Total_Age_45_54_years,G22,G22,Age: 45-54 years|PERSONS,,,
G7857,P_Tot_55_64,PERSONS_Total_Age_55_64_years,G22,G22,Age: 55-64 years|PERSONS,,,
G7858,P_Tot_65_74,PERSONS_Total_Age_65_74_years,G22,G22,Age: 65-74 years|PERSONS,,,
G7859,P_Tot_75_84,PERSONS_Total_Age_75_84_years,G22,G22,Age: 75-84 years|PERSONS,,,
G7860,P_Tot_85_ov,PERSONS_Total_Age_85_years_and_over,G22,G22,Age: 85 years and over|PERSONS,,,
G7861,P_Tot_Tot,PERSONS_Total_Age_Total,G22,G22,Age: Total|PERSONS,,,
G7862,M_15_19_yr_Volunteer,MALES_15_19_years_Volunteer,G23,G23,Volunteer|MALES,,,
G7863,M_15_19_yr_N_a_volunteer,MALES_15_19_years_Not_a_volunteer,G23,G23,Not a volunteer|MALES,,,
G7864,M_15_19_yr_Voluntary_work_ns,MALES_15_19_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|MALES,,,
G7865,M_15_19_yr_Tot,MALES_15_19_years_Total,G23,G23,Total|MALES,,,
G7866,M_20_24_yr_Volunteer,MALES_20_24_years_Volunteer,G23,G23,Volunteer|MALES,,,
G7867,M_20_24_yr_N_a_volunteer,MALES_20_24_years_Not_a_volunteer,G23,G23,Not a volunteer|MALES,,,
G7868,M_20_24_yr_Voluntary_work_ns,MALES_20_24_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|MALES,,,
G7869,M_20_24_yr_Tot,MALES_20_24_years_Total,G23,G23,Total|MALES,,,
G7870,M_25_34_yr_Volunteer,MALES_25_34_years_Volunteer,G23,G23,Volunteer|MALES,,,
G7871,M_25_34_yr_N_a_volunteer,MALES_25_34_years_Not_a_volunteer,G23,G23,Not a volunteer|MALES,,,
G7872,M_25_34_yr_Voluntary_work_ns,MALES_25_34_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|MALES,,,
G7873,M_25_34_yr_Tot,MALES_25_34_years_Total,G23,G23,Total|MALES,,,
G7874,M_35_44_yr_Volunteer,MALES_35_44_years_Volunteer,G23,G23,Volunteer|MALES,,,
G7875,M_35_44_yr_N_a_volunteer,MALES_35_44_years_Not_a_volunteer,G23,G23,Not a volunteer|MALES,,,
G7876,M_35_44_yr_Voluntary_work_ns,MALES_35_44_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|MALES,,,
G7877,M_35_44_yr_Tot,MALES_35_44_years_Total,G23,G23,Total|MALES,,,
G7878,M_45_54_yr_Volunteer,MALES_45_54_years_Volunteer,G23,G23,Volunteer|MALES,,,
G7879,M_45_54_yr_N_a_volunteer,MALES_45_54_years_Not_a_volunteer,G23,G23,Not a volunteer|MALES,,,
G7880,M_45_54_yr_Voluntary_work_ns,MALES_45_54_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|MALES,,,
G7881,M_45_54_yr_Tot,MALES_45_54_years_Total,G23,G23,Total|MALES,,,
G7882,M_55_64_yr_Volunteer,MALES_55_64_years_Volunteer,G23,G23,Volunteer|MALES,,,
G7883,M_55_64_yr_N_a_volunteer,MALES_55_64_years_Not_a_volunteer,G23,G23,Not a volunteer|MALES,,,
G7884,M_55_64_yr_Voluntary_work_ns,MALES_55_64_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|MALES,,,
G7885,M_55_64_yr_Tot,MALES_55_64_years_Total,G23,G23,Total|MALES,,,
G7886,M_65_74_yr_Volunteer,MALES_65_74_years_Volunteer,G23,G23,Volunteer|MALES,,,
G7887,M_65_74_yr_N_a_volunteer,MALES_65_74_years_Not_a_volunteer,G23,G23,Not a volunteer|MALES,,,
G7888,M_65_74_yr_Voluntary_work_ns,MALES_65_74_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|MALES,,,
G7889,M_65_74_yr_Tot,MALES_65_74_years_Total,G23,G23,Total|MALES,,,
G7890,M_75_84_yr_Volunteer,MALES_75_84_years_Volunteer,G23,G23,Volunteer|MALES,,,
G7891,M_75_84_yr_N_a_volunteer,MALES_75_84_years_Not_a_volunteer,G23,G23,Not a volunteer|MALES,,,
G7892,M_75_84_yr_Voluntary_work_ns,MALES_75_84_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|MALES,,,
G7893,M_75_84_yr_Tot,MALES_75_84_years_Total,G23,G23,Total|MALES,,,
G7894,M_85ov_Volunteer,MALES_85_years_and_over_Volunteer,G23,G23,Volunteer|MALES,,,
G7895,M_85ov_N_a_volunteer,MALES_85_years_and_over_Not_a_volunteer,G23,G23,Not a volunteer|MALES,,,
G7896,M_85_ov_Voluntary_work_ns,MALES_85_years_and_over_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|MALES,,,
G7897,M_85ov_Tot,MALES_85_years_and_over_Total,G23,G23,Total|MALES,,,
G7898,M_Tot_Volunteer,MALES_Total_Volunteer,G23,G23,Volunteer|MALES,,,
G7899,M_Tot_N_a_volunteer,MALES_Total_Not_a_volunteer,G23,G23,Not a volunteer|MALES,,,
G7900,M_Tot_Voluntary_work_ns,MALES_Total_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|MALES,,,
G7901,M_Tot_Tot,MALES_Total_Total,G23,G23,Total|MALES,,,
G7902,F_15_19_yr_Volunteer,FEMALES_15_19_years_Volunteer,G23,G23,Volunteer|FEMALES,,,
G7903,F_15_19_yr_N_a_volunteer,FEMALES_15_19_years_Not_a_volunteer,G23,G23,Not a volunteer|FEMALES,,,
G7904,F_15_19_yr_Voluntary_work_ns,FEMALES_15_19_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|FEMALES,,,
G7905,F_15_19_yr_Tot,FEMALES_15_19_years_Total,G23,G23,Total|FEMALES,,,
G7906,F_20_24_yr_Volunteer,FEMALES_20_24_years_Volunteer,G23,G23,Volunteer|FEMALES,,,
G7907,F_20_24_yr_N_a_volunteer,FEMALES_20_24_years_Not_a_volunteer,G23,G23,Not a volunteer|FEMALES,,,
G7908,F_20_24_yr_Voluntary_work_ns,FEMALES_20_24_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|FEMALES,,,
G7909,F_20_24_yr_Tot,FEMALES_20_24_years_Total,G23,G23,Total|FEMALES,,,
G7910,F_25_34_yr_Volunteer,FEMALES_25_34_years_Volunteer,G23,G23,Volunteer|FEMALES,,,
G7911,F_25_34_yr_N_a_volunteer,FEMALES_25_34_years_Not_a_volunteer,G23,G23,Not a volunteer|FEMALES,,,
G7912,F_25_34_yr_Voluntary_work_ns,FEMALES_25_34_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|FEMALES,,,
G7913,F_25_34_yr_Tot,FEMALES_25_34_years_Total,G23,G23,Total|FEMALES,,,
G7914,F_35_44_yr_Volunteer,FEMALES_35_44_years_Volunteer,G23,G23,Volunteer|FEMALES,,,
G7915,F_35_44_yr_N_a_volunteer,FEMALES_35_44_years_Not_a_volunteer,G23,G23,Not a volunteer|FEMALES,,,
G7916,F_35_44_yr_Voluntary_work_ns,FEMALES_35_44_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|FEMALES,,,
G7917,F_35_44_yr_Tot,FEMALES_35_44_years_Total,G23,G23,Total|FEMALES,,,
G7918,F_45_54_yr_Volunteer,FEMALES_45_54_years_Volunteer,G23,G23,Volunteer|FEMALES,,,
G7919,F_45_54_yr_N_a_volunteer,FEMALES_45_54_years_Not_a_volunteer,G23,G23,Not a volunteer|FEMALES,,,
G7920,F_45_54_yr_Voluntary_work_ns,FEMALES_45_54_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|FEMALES,,,
G7921,F_45_54_yr_Tot,FEMALES_45_54_years_Total,G23,G23,Total|FEMALES,,,
G7922,F_55_64_yr_Volunteer,FEMALES_55_64_years_Volunteer,G23,G23,Volunteer|FEMALES,,,
G7923,F_55_64_yr_N_a_volunteer,FEMALES_55_64_years_Not_a_volunteer,G23,G23,Not a volunteer|FEMALES,,,
G7924,F_55_64_yr_Voluntary_work_ns,FEMALES_55_64_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|FEMALES,,,
G7925,F_55_64_yr_Tot,FEMALES_55_64_years_Total,G23,G23,Total|FEMALES,,,
G7926,F_65_74_yr_Volunteer,FEMALES_65_74_years_Volunteer,G23,G23,Volunteer|FEMALES,,,
G7927,F_65_74_yr_N_a_volunteer,FEMALES_65_74_years_Not_a_volunteer,G23,G23,Not a volunteer|FEMALES,,,
G7928,F_65_74_yr_Voluntary_work_ns,FEMALES_65_74_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|FEMALES,,,
G7929,F_65_74_yr_Tot,FEMALES_65_74_years_Total,G23,G23,Total|FEMALES,,,
G7930,F_75_84_yr_Volunteer,FEMALES_75_84_years_Volunteer,G23,G23,Volunteer|FEMALES,,,
G7931,F_75_84_yr_N_a_volunteer,FEMALES_75_84_years_Not_a_volunteer,G23,G23,Not a volunteer|FEMALES,,,
G7932,F_75_84_yr_Voluntary_work_ns,FEMALES_75_84_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|FEMALES,,,
G7933,F_75_84_yr_Tot,FEMALES_75_84_years_Total,G23,G23,Total|FEMALES,,,
G7934,F_85ov_Volunteer,FEMALES_85_years_and_over_Volunteer,G23,G23,Volunteer|FEMALES,,,
G7935,F_85ov_N_a_volunteer,FEMALES_85_years_and_over_Not_a_volunteer,G23,G23,Not a volunteer|FEMALES,,,
G7936,F_85_ov_Voluntary_work_ns,FEMALES_85_years_and_over_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|FEMALES,,,
G7937,F_85ov_Tot,FEMALES_85_years_and_over_Total,G23,G23,Total|FEMALES,,,
G7938,F_Tot_Volunteer,FEMALES_Total_Volunteer,G23,G23,Volunteer|FEMALES,,,
G7939,F_Tot_N_a_volunteer,FEMALES_Total_Not_a_volunteer,G23,G23,Not a volunteer|FEMALES,,,
G7940,F_Tot_Voluntary_work_ns,FEMALES_Total_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|FEMALES,,,
G7941,F_Tot_Tot,FEMALES_Total_Total,G23,G23,Total|FEMALES,,,
G7942,P_15_19_yr_Volunteer,PERSONS_15_19_years_Volunteer,G23,G23,Volunteer|PERSONS,,,
G7943,P_15_19_yr_N_a_volunteer,PERSONS_15_19_years_Not_a_volunteer,G23,G23,Not a volunteer|PERSONS,,,
G7944,P_15_19_yr_Voluntary_work_ns,PERSONS_15_19_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|PERSONS,,,
G7945,P_15_19_yr_Tot,PERSONS_15_19_years_Total,G23,G23,Total|PERSONS,,,
G7946,P_20_24_yr_Volunteer,PERSONS_20_24_years_Volunteer,G23,G23,Volunteer|PERSONS,,,
G7947,P_20_24_yr_N_a_volunteer,PERSONS_20_24_years_Not_a_volunteer,G23,G23,Not a volunteer|PERSONS,,,
G7948,P_20_24_yr_Voluntary_work_ns,PERSONS_20_24_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|PERSONS,,,
G7949,P_20_24_yr_Tot,PERSONS_20_24_years_Total,G23,G23,Total|PERSONS,,,
G7950,P_25_34_yr_Volunteer,PERSONS_25_34_years_Volunteer,G23,G23,Volunteer|PERSONS,,,
G7951,P_25_34_yr_N_a_volunteer,PERSONS_25_34_years_Not_a_volunteer,G23,G23,Not a volunteer|PERSONS,,,
G7952,P_25_34_yr_Voluntary_work_ns,PERSONS_25_34_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|PERSONS,,,
G7953,P_25_34_yr_Tot,PERSONS_25_34_years_Total,G23,G23,Total|PERSONS,,,
G7954,P_35_44_yr_Volunteer,PERSONS_35_44_years_Volunteer,G23,G23,Volunteer|PERSONS,,,
G7955,P_35_44_yr_N_a_volunteer,PERSONS_35_44_years_Not_a_volunteer,G23,G23,Not a volunteer|PERSONS,,,
G7956,P_35_44_yr_Voluntary_work_ns,PERSONS_35_44_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|PERSONS,,,
G7957,P_35_44_yr_Tot,PERSONS_35_44_years_Total,G23,G23,Total|PERSONS,,,
G7958,P_45_54_yr_Volunteer,PERSONS_45_54_years_Volunteer,G23,G23,Volunteer|PERSONS,,,
G7959,P_45_54_yr_N_a_volunteer,PERSONS_45_54_years_Not_a_volunteer,G23,G23,Not a volunteer|PERSONS,,,
G7960,P_45_54_yr_Voluntary_work_ns,PERSONS_45_54_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|PERSONS,,,
G7961,P_45_54_yr_Tot,PERSONS_45_54_years_Total,G23,G23,Total|PERSONS,,,
G7962,P_55_64_yr_Volunteer,PERSONS_55_64_years_Volunteer,G23,G23,Volunteer|PERSONS,,,
G7963,P_55_64_yr_N_a_volunteer,PERSONS_55_64_years_Not_a_volunteer,G23,G23,Not a volunteer|PERSONS,,,
G7964,P_55_64_yr_Voluntary_work_ns,PERSONS_55_64_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|PERSONS,,,
G7965,P_55_64_yr_Tot,PERSONS_55_64_years_Total,G23,G23,Total|PERSONS,,,
G7966,P_65_74_yr_Volunteer,PERSONS_65_74_years_Volunteer,G23,G23,Volunteer|PERSONS,,,
G7967,P_65_74_yr_N_a_volunteer,PERSONS_65_74_years_Not_a_volunteer,G23,G23,Not a volunteer|PERSONS,,,
G7968,P_65_74_yr_Voluntary_work_ns,PERSONS_65_74_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|PERSONS,,,
G7969,P_65_74_yr_Tot,PERSONS_65_74_years_Total,G23,G23,Total|PERSONS,,,
G7970,P_75_84_yr_Volunteer,PERSONS_75_84_years_Volunteer,G23,G23,Volunteer|PERSONS,,,
G7971,P_75_84_yr_N_a_volunteer,PERSONS_75_84_years_Not_a_volunteer,G23,G23,Not a volunteer|PERSONS,,,
G7972,P_75_84_yr_Voluntary_work_ns,PERSONS_75_84_years_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|PERSONS,,,
G7973,P_75_84_yr_Tot,PERSONS_75_84_years_Total,G23,G23,Total|PERSONS,,,
G7974,P_85ov_Volunteer,PERSONS_85_years_and_over_Volunteer,G23,G23,Volunteer|PERSONS,,,
G7975,P_85ov_N_a_volunteer,PERSONS_85_years_and_over_Not_a_volunteer,G23,G23,Not a volunteer|PERSONS,,,
G7976,P_85_ov_Voluntary_work_ns,PERSONS_85_years_and_over_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|PERSONS,,,
G7977,P_85ov_Tot,PERSONS_85_years_and_over_Total,G23,G23,Total|PERSONS,,,
G7978,P_Tot_Volunteer,PERSONS_Total_Volunteer,G23,G23,Volunteer|PERSONS,,,
G7979,P_Tot_N_a_volunteer,PERSONS_Total_Not_a_volunteer,G23,G23,Not a volunteer|PERSONS,,,
G7980,P_Tot_Voluntary_work_ns,PERSONS_Total_Voluntary_work_not_stated,G23,G23,Voluntary work not stated|PERSONS,,,
G7981,P_Tot_Tot,PERSONS_Total_Total,G23,G23,Total|PERSONS,,,
G7982,M_15_19y_DUDW_LT_5_h,MALES_15_19_years_Did_unpaid_domestic_work_Less_than_5_hours,G24A,G24,Did unpaid domestic work: Less than 5 hours|MALES,,,
G7983,M_15_19y_DUDW_5_14_h,MALES_15_19_years_Did_unpaid_domestic_work_5_14_hours,G24A,G24,Did unpaid domestic work: 5-14 hours|MALES,,,
G7984,M_15_19y_DUDW_15_29_h,MALES_15_19_years_Did_unpaid_domestic_work_15_29_hours,G24A,G24,Did unpaid domestic work: 15-29 hours|MALES,,,
G7985,M_15_19y_DUDW_30_h_mo,MALES_15_19_years_Did_unpaid_domestic_work_30_hours_or_more,G24A,G24,Did unpaid domestic work: 30 hours or more|MALES,,,
G7986,M_15_19y_DNUDW,MALES_15_19_years_Did_no_unpaid_domestic_work,G24A,G24,Did no unpaid domestic work|MALES,,,
G7987,M_15_19y_UDW_NS,MALES_15_19_years_Unpaid_domestic_work_not_stated,G24A,G24,Unpaid domestic work not stated|MALES,,,
G7988,M_15_19y_Total,MALES_15_19_years_Total,G24A,G24,Total|MALES,,,
G7989,M_20_24y_DUDW_LT_5_h,MALES_20_24_years_Did_unpaid_domestic_work_Less_than_5_hours,G24A,G24,Did unpaid domestic work: Less than 5 hours|MALES,,,
G7990,M_20_24y_DUDW_5_14_h,MALES_20_24_years_Did_unpaid_domestic_work_5_14_hours,G24A,G24,Did unpaid domestic work: 5-14 hours|MALES,,,
G7991,M_20_24y_DUDW_15_29_h,MALES_20_24_years_Did_unpaid_domestic_work_15_29_hours,G24A,G24,Did unpaid domestic work: 15-29 hours|MALES,,,
G7992,M_20_24y_DUDW_30_h_mo,MALES_20_24_years_Did_unpaid_domestic_work_30_hours_or_more,G24A,G24,Did unpaid domestic work: 30 hours or more|MALES,,,
G7993,M_20_24y_DNUDW,MALES_20_24_years_Did_no_unpaid_domestic_work,G24A,G24,Did no unpaid domestic work|MALES,,,
G7994,M_20_24y_UDW_NS,MALES_20_24_years_Unpaid_domestic_work_not_stated,G24A,G24,Unpaid domestic work not stated|MALES,,,
G7995,M_20_24y_Total,MALES_20_24_years_Total,G24A,G24,Total|MALES,,,
G7996,M_25_34y_DUDW_LT_5_h,MALES_25_34_years_Did_unpaid_domestic_work_Less_than_5_hours,G24A,G24,Did unpaid domestic work: Less than 5 hours|MALES,,,
G7997,M_25_34y_DUDW_5_14_h,MALES_25_34_years_Did_unpaid_domestic_work_5_14_hours,G24A,G24,Did unpaid domestic work: 5-14 hours|MALES,,,
G7998,M_25_34y_DUDW_15_29_h,MALES_25_34_years_Did_unpaid_domestic_work_15_29_hours,G24A,G24,Did unpaid domestic work: 15-29 hours|MALES,,,
G7999,M_25_34y_DUDW_30_h_mo,MALES_25_34_years_Did_unpaid_domestic_work_30_hours_or_more,G24A,G24,Did unpaid domestic work: 30 hours or more|MALES,,,
G8000,M_25_34y_DNUDW,MALES_25_34_years_Did_no_unpaid_domestic_work,G24A,G24,Did no unpaid domestic work|MALES,,,
G8001,M_25_34y_UDW_NS,MALES_25_34_years_Unpaid_domestic_work_not_stated,G24A,G24,Unpaid domestic work not stated|MALES,,,
G8002,M_25_34y_Total,MALES_25_34_years_Total,G24A,G24,Total|MALES,,,
G8003,M_35_44y_DUDW_LT_5_h,MALES_35_44_years_Did_unpaid_domestic_work_Less_than_5_hours,G24A,G24,Did unpaid domestic work: Less than 5 hours|MALES,,,
G8004,M_35_44y_DUDW_5_14_h,MALES_35_44_years_Did_unpaid_domestic_work_5_14_hours,G24A,G24,Did unpaid domestic work: 5-14 hours|MALES,,,
G8005,M_35_44y_DUDW_15_29_h,MALES_35_44_years_Did_unpaid_domestic_work_15_29_hours,G24A,G24,Did unpaid domestic work: 15-29 hours|MALES,,,
G8006,M_35_44y_DUDW_30_h_mo,MALES_35_44_years_Did_unpaid_domestic_work_30_hours_or_more,G24A,G24,Did unpaid domestic work: 30 hours or more|MALES,,,
G8007,M_35_44y_DNUDW,MALES_35_44_years_Did_no_unpaid_domestic_work,G24A,G24,Did no unpaid domestic work|MALES,,,
G8008,M_35_44y_UDW_NS,MALES_35_44_years_Unpaid_domestic_work_not_stated,G24A,G24,Unpaid domestic work not stated|MALES,,,
G8009,M_35_44y_Total,MALES_35_44_years_Total,G24A,G24,Total|MALES,,,
G8010,M_45_54y_DUDW_LT_5_h,MALES_45_54_years_Did_unpaid_domestic_work_Less_than_5_hours,G24A,G24,Did unpaid domestic work: Less than 5 hours|MALES,,,
G8011,M_45_54y_DUDW_5_14_h,MALES_45_54_years_Did_unpaid_domestic_work_5_14_hours,G24A,G24,Did unpaid domestic work: 5-14 hours|MALES,,,
G8012,M_45_54y_DUDW_15_29_h,MALES_45_54_years_Did_unpaid_domestic_work_15_29_hours,G24A,G24,Did unpaid domestic work: 15-29 hours|MALES,,,
G8013,M_45_54y_DUDW_30_h_mo,MALES_45_54_years_Did_unpaid_domestic_work_30_hours_or_more,G24A,G24,Did unpaid domestic work: 30 hours or more|MALES,,,
G8014,M_45_54y_DNUDW,MALES_45_54_years_Did_no_unpaid_domestic_work,G24A,G24,Did no unpaid domestic work|MALES,,,
G8015,M_45_54y_UDW_NS,MALES_45_54_years_Unpaid_domestic_work_not_stated,G24A,G24,Unpaid domestic work not stated|MALES,,,
G8016,M_45_54y_Total,MALES_45_54_years_Total,G24A,G24,Total|MALES,,,
G8017,M_55_64y_DUDW_LT_5_h,MALES_55_64_years_Did_unpaid_domestic_work_Less_than_5_hours,G24A,G24,Did unpaid domestic work: Less than 5 hours|MALES,,,
G8018,M_55_64y_DUDW_5_14_h,MALES_55_64_years_Did_unpaid_domestic_work_5_14_hours,G24A,G24,Did unpaid domestic work: 5-14 hours|MALES,,,
G8019,M_55_64y_DUDW_15_29_h,MALES_55_64_years_Did_unpaid_domestic_work_15_29_hours,G24A,G24,Did unpaid domestic work: 15-29 hours|MALES,,,
G8020,M_55_64y_DUDW_30_h_mo,MALES_55_64_years_Did_unpaid_domestic_work_30_hours_or_more,G24A,G24,Did unpaid domestic work: 30 hours or more|MALES,,,
G8021,M_55_64y_DNUDW,MALES_55_64_years_Did_no_unpaid_domestic_work,G24A,G24,Did no unpaid domestic work|MALES,,,
G8022,M_55_64y_UDW_NS,MALES_55_64_years_Unpaid_domestic_work_not_stated,G24A,G24,Unpaid domestic work not stated|MALES,,,
G8023,M_55_64y_Total,MALES_55_64_years_Total,G24A,G24,Total|MALES,,,
G8024,M_65_74y_DUDW_LT_5_h,MALES_65_74_years_Did_unpaid_domestic_work_Less_than_5_hours,G24A,G24,Did unpaid domestic work: Less than 5 hours|MALES,,,
G8025,M_65_74y_DUDW_5_14_h,MALES_65_74_years_Did_unpaid_domestic_work_5_14_hours,G24A,G24,Did unpaid domestic work: 5-14 hours|MALES,,,
G8026,M_65_74y_DUDW_15_29_h,MALES_65_74_years_Did_unpaid_domestic_work_15_29_hours,G24A,G24,Did unpaid domestic work: 15-29 hours|MALES,,,
G8027,M_65_74y_DUDW_30_h_mo,MALES_65_74_years_Did_unpaid_domestic_work_30_hours_or_more,G24A,G24,Did unpaid domestic work: 30 hours or more|MALES,,,
G8028,M_65_74y_DNUDW,MALES_65_74_years_Did_no_unpaid_domestic_work,G24A,G24,Did no unpaid domestic work|MALES,,,
G8029,M_65_74y_UDW_NS,MALES_65_74_years_Unpaid_domestic_work_not_stated,G24A,G24,Unpaid domestic work not stated|MALES,,,
G8030,M_65_74y_Total,MALES_65_74_years_Total,G24A,G24,Total|MALES,,,
G8031,M_75_84y_DUDW_LT_5_h,MALES_75_84_years_Did_unpaid_domestic_work_Less_than_5_hours,G24A,G24,Did unpaid domestic work: Less than 5 hours|MALES,,,
G8032,M_75_84y_DUDW_5_14_h,MALES_75_84_years_Did_unpaid_domestic_work_5_14_hours,G24A,G24,Did unpaid domestic work: 5-14 hours|MALES,,,
G8033,M_75_84y_DUDW_15_29_h,MALES_75_84_years_Did_unpaid_domestic_work_15_29_hours,G24A,G24,Did unpaid domestic work: 15-29 hours|MALES,,,
G8034,M_75_84y_DUDW_30_h_mo,MALES_75_84_years_Did_unpaid_domestic_work_30_hours_or_more,G24A,G24,Did unpaid domestic work: 30 hours or more|MALES,,,
G8035,M_75_84y_DNUDW,MALES_75_84_years_Did_no_unpaid_domestic_work,G24A,G24,Did no unpaid domestic work|MALES,,,
G8036,M_75_84y_UDW_NS,MALES_75_84_years_Unpaid_domestic_work_not_stated,G24A,G24,Unpaid domestic work not stated|MALES,,,
G8037,M_75_84y_Total,MALES_75_84_years_Total,G24A,G24,Total|MALES,,,
G8038,M_85y_ov_DUDW_LT_5_h,MALES_85_years_and_over_Did_unpaid_domestic_work_Less_than_5_hours,G24A,G24,Did unpaid domestic work: Less than 5 hours|MALES,,,
G8039,M_85y_ov_DUDW_5_14_h,MALES_85_years_and_over_Did_unpaid_domestic_work_5_14_hours,G24A,G24,Did unpaid domestic work: 5-14 hours|MALES,,,
G8040,M_85y_ov_DUDW_15_29_h,MALES_85_years_and_over_Did_unpaid_domestic_work_15_29_hours,G24A,G24,Did unpaid domestic work: 15-29 hours|MALES,,,
